url;Publication;Authors;Institution;Affiliation;Country;Journal;Citations;Date;Year;Application;Materials;Number of classes;Classes;Exploratory data analysis;Preprocessing;Feature selection;Feature selection approach;Spectral input;Classification approaches;Classification;Classifier;Best model;Validation internal;Validation external;Model validation;Software
https://www.sciencedirect.com/science/article/abs/pii/S0142941812000748;Discrimination of polymers by laser induced breakdown spectroscopy together with the DFA method;Banaee et al., 2012;Laser and Plasma Research Institute, Beheshti University,;Laser and Plasma Research Institute, Shahid Beheshti University, Iran;Iran;Polymer Testing;48;01.09.2012;2012;Polymers;Polymers;6;"polyethylene terephthalate (PET), high density polyethylene (HDPE), polyvinyl chloride
(PVC), low density polyethylene (LDPE), polypropylene (PP), polystyrene (PS)";Visual inspection;BckgCorr;domain knowledge, wrapper (DFA);Wrapper-based;Features:  10 IntRatios (Cl/C, C2/C, H/C, O/C, CN/C, N/C, CN/C, N/C, N/O, C2/C);DFA;DFA;DFA;DFA ;accuracy: 99%;-;Internal;SPSS
https://pubs.rsc.org/en/content/articlelanding/2013/ra/c3ra44946g#!divAbstract;Analytical predictive capabilities of Laser Induced Breakdown Spectroscopy (LIBS) with Principal Component Analysis (PCA) for plastic classification;Unnikrishnan et al., 2013;Manipal University;Centre for Atomic and Molecular Physics, Manipal University, India;India;RSC Advances;94;18.10.2013;2013;Polymers;Polymers;4;polyethylene terephthalate (PET), high density polyethylene (PE), polypropylene (PP), polystyrene (PS);Visual inspection + PCA;SmoothFourier;domain knowledge;Domain k-wledge;LIBS subregions:  RawInt (245-260 nm, 375-390 nm, 485-50 nm);PCA, M-distance;PCA;PCA, M-distance;PCA, M-distance;?;?;Internal;GRAMS
https://opg.optica.org/ao/abstract.cfm?uri=ao-53-4-544;Classification of steel materials by laser-induced breakdown spectroscopy coupled with support vector machines;Liang et al., 2014;Northwest University;College of Chemistry and Materials Science, Northwest University, China;China;Applied Optics;51;23.01.2014;2014;Materials;Steel;9;20 , 20Cr, 20CrMnTi, 20CrMo, 20CrNiMo, 35, 35CrMo, 40Cr, 42CrMo, 20CrMnTi, 20CrMo, 20CrNiMo, 35, 35CrMo, 40Cr, 42CrMo;Visual inspection;-;-;-;LIBS spectrum:  RawInt (220-800 nm);SVM;SVM;SVM;SVM (polynomial kernel);accuracy: 92%;-;Internal;MATLAB
https://opg.optica.org/oe/fulltext.cfm?uri=oe-22-4-3895&id=279414;Accuracy improvement on polymer identification using laser-induced breakdown spectroscopy with adjusting spectral weightings;Guo et al., 2014;Huazhong University of Science and Technology;Wuhan National Laboratory for Optoelectronics (WNLO), Huazhong University of Science and Technology, China;China;Optics Express;51;12.02.2014;2014;Polymers;Polymers;9;polytetrafluoroethylene (PTFE), polyurethane (PU), polysytrene (PS), polycarbonate (PC), polyvinyl chloride (PVC), acrylonitrile-butadiene-styrene (ABS), plexiglass (PMMA), polyamide (PA), polypropylene (PP), polyethylene (PE), polyoxymethylene (POM);?;NormIS (C: 247.9 nm);WghtPCA;Weighting;LIBS spectrum:  RawIntWght (200-950 nm);SVM;SVM;SVM;SVM (RBF);accuracy: 100%;-;Internal;MATLAB
https://www.sciencedirect.com/science/article/abs/pii/S0039914013009703;Reliable classification of moving waste materials with LIBS in concrete recycling;Xia et al., 2014;Delft University of Technology;Faculty of Civil Engineering and Geosciences, Delft University of Technology,  Netherlands;Netherlands;Talanta;37;01.03.2014;2014;Materials;Concrete;8;cement, brick, gypsum block, wood, PVC plastic, glass, aggregate, steel rebar;Visual inspection;NormArea;-;-;LIBS spectrum:  3648 RawInt (250-800 nm);PCA-Adaboost, PLS-DA;PLS-DA;PLS-DA;PLS-DA (15 LVs);accuracy: 99%;-;Internal;MATLAB
https://www.sciencedirect.com/science/article/abs/pii/S0308814613014106;Classification of vegetable oils based on their concentration of saturated fatty acids using laser induced breakdown spectroscopy (LIBS);Kongbonga et al., 2013;University of Tunis;Laboratory of Spectroscopy of Atomic Molecular and Applications – LSAMA, Faculty of Sciences of Tunis, University of Tunis, Tunisia;Tunisia;Food Chemistry;54;29.09.2013;2013;Foodstuff;Vegetable Oils;3;palm oil (50% saturated FA), olive oil (14% saturated FA), sunflower oil (13% saturated FA);Visual inspection;-;domain knowledge;Domain k-wledge;Features:  1 IntRatio (C/C2);ANOVA;ANOVA;ANOVA;ANOVA;-;-;?;LIFBASE
https://www.sciencedirect.com/science/article/abs/pii/S0379073814001960;Assessment and forensic application of laser-induced breakdown spectroscopy (LIBS) for the discrimination of Australian window glass;El-Deftar et al., 2014;University of Canberra;National Centre for Forensic Studies, University of Canberra, Australia;Australia;Forensic Science International;30;29.04.2014;2014;Forensics/Explosives;Window glass;2;20 crime scenes;Visual inspection;-;-;?;Features:  11 IntRatio (Al/Ca, Al/Ti, Fe/Al, Ba/Sr, Ti/Sr, Al/Sr, Si/Al, Na/Ti, Na/K, Ba/Ca, Sr/Zr);ANOVA;ANOVA;ANOVA;ANOVA;discriminative power: 97%;-;?;?
https://www.sciencedirect.com/science/article/abs/pii/S0584854714002122;Comparative study on fast classification of brick samples by combination of principal component analysis and linear discriminant analysis using stand-off and table-top laser-induced breakdown spectroscopy;Vítková et al., 2014;CEITEC;Central European Institute of Technology, Brno University of Technology, Czech Republic;Czech Republic;Spectrochimica Acta Part B: Atomic Spectroscopy;46;01.11.2014;2014;Materials;Bricks;7;"Šlapanice, Hranice na Moravě, Tallinn, Skalka u Velimi, Těšetice,
Strážovice, Pohansko";PCA;-;PCA;PCA;Features:  5 PCs (200-1000 nm);PCA, LDA;LDA;LDA;LDA (5 PCs);-;accuracy: 86%;External;R Studio
https://pubs.rsc.org/en/content/articlelanding/2015/ja/c4ja00352g#!divAbstract;Classification of iron ores by laser-induced breakdown spectroscopy (LIBS) combined with random forest (RF);Sheng et al., 2014;Northwest University ;Institute of Analytical Science, College of Chemistry & Materials Science, Northwest University,China;China;Journal of Analytical Atomic Spectrometry;59;02.12.2014;2014;Geological samples;Iron Ores;10;H140115-014, H140122-036,H140121-041,H140115-042,H140123-065-PT,H140122-073-PT, H140123-080-PT, H140119-092, H140123-097-PT, H140118-080;Visual inspection;-;-;-;LIBS spectrum:  RawInt (200-940 nm);RF, SVM;RF;RF;RF (72 trees);accuracy: 100%;-;Internal;MATLAB
https://pubs.rsc.org/en/content/articlelanding/2015/ja/c4ja00421c#!divAbstract;Quantitative and classification analysis of slag samples by laser induced breakdown spectroscopy (LIBS) coupled with support vector machine (SVM) and partial least square (PLS) methods;Zhang et al., 2014;Northwest University ;Institute of Analytical Science, School of Chemistry & Material Science, Northwest University, China;China;Journal of Analytical Atomic Spectrometry;80;09.12.2014;2014;Materials;Slag;2;open-hearth furnace slag (GSBH42011-94), high titanium slag (YS/T 298-2007));Visual inspection;-;-;?;Features:  28 RawInt (220-800 nm);PLS-DA;PLS-DA;PLS-DA;PLS-DA;accuracy: 100%;-;Internal;MATLAB
https://iopscience.iop.org/article/10.1088/1009-0630/17/8/08/meta;Rock and soil classification using PLS-DA and SVM combined with a laser-induced breakdown spectroscopy Library;Yang et al., 2015;Jilin University;College of Instrumentation and Electrical Engineering, Jilin University, China;China;Plasma Science and Technology;34;21.04.2015;2015;Geological samples;Soil;13;"andesite (GBW07104(GSR-2)), basalt (GBW07105(GSR3)), shale (GBW07107(GSR-5)), argillaceous limestone (GBW07108(GSR-6)), carbonate (GBW07135)
and mudstone (GBW(E)070040); soil:
chestnut soil (GBW07402(GSS-2)), yellow brown earth
(GBW07403(GSS-3)), limestone soil (GBW07404(GSS4)), yellow red soil (GBW07406(GSS-6)), latosol
(GBW07407(GSS-7)), loess (GBW07408(GSS-8)), 
Sichuan Basin soil (GBW07428(GSS-14))";?;-;-;-;LIBS spectrum:  38007 RawInt (200-600 nm);PLS-DA, SVM;SVM;SVM;SVM;accuracy: 97%;-;Internal;?
